symbol,name,publish_date,org,rating_value,last_rating_value,rating_name,eps_this,eps_next,industry
600480,凌云股份,2017-01-17,西南证券,3.0,3.0,买入,,,汽车零部件
300584,海辰药业,2017-01-17,西南证券,,,,,,化学制药
000581,威孚高科,2017-01-16,高华证券,3.0,3.0,买入,,,汽车零部件
601126,四方股份,2017-01-16,广证恒生证券研究所,3.0,3.0,买入,,,电网设备
300021,大禹节水,2017-01-16,西南证券,2.0,2.0,增持,,,农业综合Ⅱ
603009,北特科技,2017-01-16,西南证券,2.0,2.0,增持,,,汽车零部件
002230,科大讯飞,2017-01-16,华安证券,3.0,3.0,买入,,,软件开发
002142,宁波银行,2017-01-16,东吴证券,3.0,3.0,买入,,,银行Ⅱ
601229,上海银行,2017-01-16,东吴证券,2.0,,增持,,,银行Ⅱ
300072,三聚环保,2017-01-16,太平洋,3.0,3.0,买入,,,化学制品
002648,卫星石化,2017-01-16,太平洋,3.0,3.0,买入,,,化学原料
600958,东方证券,2017-01-16,信达证券,2.0,,增持,,,证券Ⅱ
600340,华夏幸福,2017-01-16,信达证券,3.0,,买入,,,房地产开发
601126,四方股份,2017-01-16,广证恒生证券研究所,3.0,,买入,,,电网设备
300160,秀强股份,2017-01-16,国金证券,,,,,,家电零部件Ⅱ
300201,海伦哲,2017-01-16,国金证券,,,,,,工程机械
300327,中颖电子,2017-01-16,群益证券,3.0,,买入,,,半导体
002537,海立美达,2017-01-16,东吴证券,3.0,3.0,买入,,,汽车零部件
300422,博世科,2017-01-16,东吴证券,3.0,3.0,买入,,,环境治理
000513,丽珠集团,2017-01-16,西南证券,3.0,3.0,买入,,,化学制药
002256,兆新股份,2017-01-16,太平洋,3.0,3.0,买入,,,电力
300040,九洲电气,2017-01-16,太平洋,3.0,,买入,,,电力
300301,长方集团,2017-01-16,国金证券,,,,,,光学光电子
002564,天沃科技,2017-01-16,国金证券,,,,,,专用设备
300091,金通灵,2017-01-16,国信证券,3.0,3.0,买入,,,通用设备
600312,平高电气,2017-01-16,国信证券,3.0,3.0,买入,,,电网设备
600406,国电南瑞,2017-01-16,国信证券,3.0,3.0,买入,,,电网设备
000728,国元证券,2017-01-16,民生证券,,,,,,证券Ⅱ
600594,益佰制药,2017-01-16,东兴证券,2.0,,增持,,,中药Ⅱ
600755,厦门国贸,2017-01-16,东兴证券,3.0,3.0,买入,,,物流
600479,千金药业,2017-01-16,东兴证券,2.0,,增持,,,中药Ⅱ
000002,万科A,2017-01-16,东兴证券,3.0,3.0,买入,,,房地产开发
920879,基康仪器,2017-01-15,灿土研究院,,,,,,通用设备
000002,万科A,2017-01-13,高华证券,-3.0,,卖出,,,房地产开发
300450,先导智能,2017-01-13,上海证券,2.0,,增持,,,电池
920491,奥迪威,2017-01-13,梧桐公会,3.0,,买入,0.82,,元件
600480,凌云股份,2017-01-13,西南证券,3.0,,买入,,,汽车零部件
000002,万科A,2017-01-13,东莞证券,3.0,3.0,买入,,,房地产开发
300583,赛托生物,2017-01-13,西南证券,,,,,,化学制药
300497,富祥股份,2017-01-13,西南证券,3.0,,买入,,,化学制药
300068,南都电源,2017-01-13,西南证券,3.0,3.0,买入,,,电池
603323,吴江银行,2017-01-13,东吴证券,2.0,,增持,,,银行Ⅱ
300408,三环集团,2017-01-13,东吴证券,3.0,3.0,买入,,,元件
000967,盈峰环境,2017-01-13,国金证券,,,,,,环保设备Ⅱ
920491,奥迪威,2017-01-13,国金证券,,,,1.142,,元件
000002,万科A,2017-01-13,国金证券,,,,,,房地产开发
600535,天士力,2017-01-13,辉立证券,2.0,3.0,增持,,,中药Ⅱ
000967,盈峰环境,2017-01-13,东吴证券,3.0,3.0,买入,,,环保设备Ⅱ
002322,理工环科,2017-01-12,东兴证券,3.0,3.0,买入,,,软件开发
300410,正业科技,2017-01-12,民生证券,,,,,,电池
002462,嘉事堂,2017-01-12,西南证券,3.0,3.0,买入,,,医药商业
000006,深振业A,2017-01-12,东莞证券,3.0,3.0,买入,,,房地产开发
600340,华夏幸福,2017-01-12,东莞证券,3.0,3.0,买入,,,房地产开发
300080,易成新能,2017-01-12,华鑫证券,3.0,3.0,买入,,,光伏设备
002739,万达电影,2017-01-12,元大证券(香港),3.0,3.0,买入,,,影视院线
600166,福田汽车,2017-01-12,中银证券,3.0,3.0,买入,,,商用车
601998,中信银行,2017-01-12,东吴证券,3.0,3.0,买入,,,银行Ⅱ
300014,亿纬锂能,2017-01-12,太平洋,3.0,3.0,买入,,,电池
600622,嘉宝集团,2017-01-12,华金证券,3.0,3.0,买入,,,房地产开发
603111,康尼机电,2017-01-12,华金证券,3.0,3.0,买入,,,轨交设备Ⅱ
603416,信捷电气,2017-01-12,华金证券,2.0,,增持,,,自动化设备
300037,新宙邦,2017-01-12,东兴证券,3.0,3.0,买入,,,电池
002241,歌尔股份,2017-01-12,国元证券,3.0,,买入,,,消费电子
002648,卫星石化,2017-01-12,国金证券,,,,,,化学原料
600856,中天能源,2017-01-12,国金证券,,,,,,石油行业
002322,理工环科,2017-01-12,东吴证券,2.0,2.0,增持,,,软件开发
002739,万达院线,2017-01-12,群益证券,3.0,,买入,,,影视院线
601127,小康股份,2017-01-11,民生证券,,,,,,乘用车
600763,通策医疗,2017-01-11,上海证券,2.0,2.0,增持,,,医疗服务
002022,科华生物,2017-01-11,东兴证券,2.0,2.0,增持,,,医疗器械
002739,万达院线,2017-01-11,山西证券,3.0,3.0,买入,,,影视院线
600682,南京新百,2017-01-11,东兴证券,2.0,2.0,增持,,,综合Ⅱ
600479,千金药业,2017-01-11,西南证券,3.0,,买入,,,中药Ⅱ
300145,中金环境,2017-01-11,东吴证券,3.0,3.0,买入,,,通用设备
000035,中国天楹,2017-01-11,辉立证券,3.0,,买入,,,环境治理
600196,复星医药,2017-01-11,国金证券,,,,,,化学制药
300068,南都电源,2017-01-11,东兴证券,3.0,3.0,买入,,,电池
300068,南都电源,2017-01-11,东吴证券,3.0,3.0,买入,,,电池
001979,招商蛇口,2017-01-11,群益证券,3.0,3.0,买入,,,房地产开发
601939,建设银行,2017-01-11,国金证券,,,,,,银行Ⅱ
300098,高新兴,2017-01-10,西南证券,3.0,3.0,买入,,,通信设备
000547,航天发展,2017-01-10,民生证券,,,,,,军工电子Ⅱ
600499,科达洁能,2017-01-10,民生证券,,,,,,专用设备
002538,司尔特,2017-01-10,民生证券,,,,,,农化制品
600522,中天科技,2017-01-10,民生证券,,,,,,通信设备
600178,东安动力,2017-01-10,民生证券,,,,,,汽车零部件
600703,三安光电,2017-01-10,群益证券,3.0,3.0,买入,,,光学光电子
600104,上汽集团,2017-01-10,群益证券,3.0,3.0,买入,,,乘用车
300242,明家联合,2017-01-10,太平洋,2.0,,增持,,,广告营销
300447,全信股份,2017-01-10,东兴证券,3.0,,买入,,,军工电子Ⅱ
603766,隆鑫通用,2017-01-10,东吴证券,3.0,3.0,买入,,,摩托车及其他
603766,隆鑫通用,2017-01-10,联讯证券,3.0,,买入,,,摩托车及其他
601012,隆基绿能,2017-01-10,太平洋,3.0,3.0,买入,,,光伏设备
300337,银邦股份,2017-01-10,东兴证券,2.0,,增持,,,工业金属
601633,长城汽车,2017-01-10,华鑫证券,2.0,2.0,增持,,,乘用车
600594,益佰制药,2017-01-10,广州广证恒生市场研究,3.0,3.0,买入,,,中药Ⅱ
