symbol,name,ann_date,period,period_end,holders,holders_prev,holders_chg_pct,avg_hold_value
002290,禾盛新材,2016-04-30,20160331,2016-03-31,23163,20002,15.803419658034,213373.272892112
002284,亚太股份,2016-04-30,20160331,2016-03-31,102737,93981,9.31677679531,142576.308048707
002274,华昌化工,2016-04-30,20160331,2016-03-31,31426,32370,-2.916280506642,229307.764952587
002268,电科网安,2016-04-30,20160331,2016-03-31,36325,32813,10.703075000762,457706.742470475
002200,交投生态,2016-04-30,20160331,2016-03-31,14746,14141,4.278339579945,281456.350237353
002188,中天服务,2016-04-30,20160331,2016-03-31,9437,11602,-18.6605757628,1063801.57122179
002183,怡亚通,2016-04-30,20160331,2016-03-31,104452,98760,5.763466990684,295028.227867346
002181,粤传媒,2016-04-30,20160331,2016-03-31,73055,66475,9.898458066942,152572.150713846
002173,创新医疗,2016-04-30,20160331,2016-03-31,15093,15125,-0.211570247934,573621.291174717
002166,莱茵生物,2016-04-30,20160331,2016-03-31,74253,77874,-4.649818938285,76263.4996282979
002150,正泰电源,2016-04-30,20160331,2016-03-31,17618,16916,4.149917238118,187600.295152685
002140,东华科技,2016-04-30,20160331,2016-03-31,14657,15506,-5.475299883916,443691.308297742
002134,天津普林,2016-04-30,20160331,2016-03-31,18472,19151,-3.545506762049,185265.741152014
002133,广宇集团,2016-04-30,20160331,2016-03-31,49177,48157,2.118072139045,113499.796688493
002130,沃尔核材,2016-04-30,20160331,2016-03-31,119961,118363,1.350084063432,87714.2588261185
002126,银轮股份,2016-04-30,20160331,2016-03-31,28574,31871,-10.344827586207,187626.156645902
002121,科陆电子,2016-04-30,20160331,2016-03-31,53095,55338,-4.053272615563,232991.216027875
002103,广博股份,2016-04-30,20160331,2016-03-31,14908,10957,36.059140275623,624645.197716662
002101,广东鸿图,2016-04-30,20160331,2016-03-31,13394,13660,-1.94729136164,323030.386740332
002076,星光股份,2016-04-30,20160331,2016-03-31,36556,35984,1.589595375723,132276.371597549
002069,獐子岛,2016-04-30,20160331,2016-03-31,48672,50446,-3.51663164572,143911.388701923
002067,景兴纸业,2016-04-30,20160331,2016-03-31,131981,139195,-5.18265742304,54954.0852850032
002031,巨轮智能,2016-04-30,20160331,2016-03-31,48905,40906,19.554588568914,247650.318429608
002028,思源电气,2016-04-30,20160331,2016-03-31,48509,49392,-1.787738905086,166726.731977571
002027,分众传媒,2016-04-30,20160331,2016-03-31,50842,61043,-16.711170814016,2498257.57500256
002024,ST易购,2016-04-30,20160331,2016-03-31,565952,600698,-5.784270964778,149369.282319879
001914,招商积余,2016-04-30,20160331,2016-03-31,36863,38756,-4.884404995356,166093.530067547
001696,宗申动力,2016-04-30,20160331,2016-03-31,122380,110096,11.157535241971,95902.3200686387
000995,皇台酒业,2016-04-30,20160331,2016-03-31,9959,10830,-8.042474607572,261863.399939753
000993,闽东电力,2016-04-30,20160331,2016-03-31,30625,31675,-3.314917127072,106693.224489796
000990,诚志股份,2016-04-30,20160331,2016-03-31,16070,14602,10.05341734009,368383.898187928
000988,华工科技,2016-04-30,20160331,2016-03-31,125523,116041,8.171249816875,135453.306075859
000987,越秀资本,2016-04-30,20160331,2016-03-31,38423,35333,8.745365522316,979288.722807173
000981,山子高科,2016-04-30,20160331,2016-03-31,23601,13291,77.571288842074,1050416.93453667
000966,长源电力,2016-04-30,20160331,2016-03-31,43074,42092,2.33298489024,152062.936174955
000960,锡业股份,2016-04-30,20160331,2016-03-31,94482,94304,0.18875127248,187898.055926843
000957,中通客车,2016-04-30,20160331,2016-03-31,25072,25298,-0.893351253063,242156.042782387
000951,中国重汽,2016-04-30,20160331,2016-03-31,22689,23266,-2.480013753976,318696.091498083
000938,紫光股份,2016-04-30,20160331,2016-03-31,38764,30797,25.869402863915,339178.206583428
000937,冀中能源,2016-04-30,20160331,2016-03-31,86447,98143,-11.917304341624,215412.818252802
000932,华菱钢铁,2016-04-30,20160331,2016-03-31,119843,126665,-5.385860340268,99395.1886947924
000931,中关村,2016-04-30,20160331,2016-03-31,114045,116744,-2.311896114575,53493.0627173484
000928,中钢国际,2016-04-30,20160331,2016-03-31,47878,50220,-4.663480684986,168162.895285309
000913,钱江摩托,2016-04-30,20160331,2016-03-31,42014,46403,-9.458440187057,123277.505593374
000909,*ST数源,2016-04-30,20160331,2016-03-31,37211,25410,46.442345533255,159597.968342694
000902,新洋丰,2016-04-30,20160331,2016-03-31,16221,16756,-3.192886130341,1068430.79446705
