strategy,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,p_k,p_n,p_rebal,family
"margin_crowding_reversal(k=5,n=60,rebal=5)",2569,10.53,0.5501437932110456,0.04251248071553193,0.11814671114670015,0.41139695267859944,0.6070112696103355,-0.2135107976350159,0.19911161958283957,1.3348983904315848,0.47244094488188976,761,0.4214480342545738,954,0.0,0.0,0.0,0.0,,5,60,5,margin_crowding_reversal
"margin_crowding_reversal(k=5,n=120,rebal=5)",2569,10.53,0.49699043581909375,0.0390634207328886,0.11872601327283541,0.382109743928093,0.554952167960574,-0.18834386584609597,0.20740479419069072,1.2398674292960319,0.48031496062992124,806,0.42265472946671856,722,0.0,0.0,0.0,0.0,,5,120,5,margin_crowding_reversal
"margin_crowding_reversal(k=5,n=60,rebal=10)",2569,10.53,0.42891278658754484,0.03448030109308098,0.1158148473014317,0.35059519541915096,0.5063288195564909,-0.2177521519147525,0.158346545785594,1.1376092093314552,0.44881889763779526,837,0.4198910081743869,735,0.0,0.0,0.0,0.0,,5,60,10,margin_crowding_reversal
"margin_crowding_reversal(k=5,n=120,rebal=10)",2569,10.53,0.4460561083277015,0.035652741847451264,0.11913744153404368,0.3535882820308961,0.5266256456756719,-0.1982162818997073,0.179867877178176,1.147321159005429,0.5039370078740157,1098,0.42522382249902685,584,0.0,0.0,0.0,0.0,,5,120,10,margin_crowding_reversal
"margin_crowding_reversal(k=5,n=60,rebal=20)",2569,10.53,0.43791042830532345,0.035097232129938094,0.11429611924623978,0.35893091505028035,0.5196720225778576,-0.2588728358114638,0.13557711460888575,1.1646569029184728,0.48031496062992124,1179,0.42210977033865316,505,0.0,0.0,0.0,0.0,,5,60,20,margin_crowding_reversal
"margin_crowding_reversal(k=5,n=120,rebal=20)",2569,10.53,0.6472888688473741,0.04854841165661994,0.11928828363599527,0.4570546332418393,0.6632907855988992,-0.15945394290477133,0.3044666740264547,1.4830481613471795,0.47244094488188976,442,0.42608018684312965,436,0.0,0.0,0.0,0.0,,5,120,20,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=60,rebal=5)",2569,10.53,1.4853770781834146,0.09031955789224066,0.20179255686747677,0.5293444344850344,0.7592258850494884,-0.3148976154809757,0.2868219810248047,1.7176136793848156,0.49606299212598426,634,0.8444920202413391,1497,0.0,0.0,0.0,0.0,,10,60,5,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=120,rebal=5)",2569,10.53,0.8988116526241914,0.06279577027698857,0.20545227884880335,0.3992272385446536,0.5625712753638626,-0.3626124825879399,0.17317597515898944,1.2954101742363902,0.4881889763779528,969,0.848540288049825,1152,0.0,0.0,0.0,0.0,,10,120,5,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=60,rebal=10)",2569,10.53,1.8499393637819255,0.10458628430268124,0.20300741013032725,0.5915320524791916,0.8472526159802815,-0.32399638582282464,0.3228007745736818,1.9193996931719153,0.5118110236220472,451,0.8418061502530166,1209,0.0,0.0,0.0,0.0,,10,60,10,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=120,rebal=10)",2569,10.53,1.0900740777580098,0.07252766954261847,0.20204998524801387,0.4476723364329381,0.6277372707123045,-0.3875472410295141,0.18714536413663965,1.4526045403451104,0.48031496062992124,1143,0.8442584663293109,959,0.0,0.0,0.0,0.0,,10,120,10,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=60,rebal=20)",2569,10.53,1.4929982230641818,0.09063666471844689,0.20253305107100086,0.5295727717565455,0.7518639940983208,-0.37153620338518434,0.2439510978812494,1.7183545868082444,0.4645669291338583,914,0.8406383806928766,900,0.0,0.0,0.0,0.0,,10,60,20,margin_crowding_reversal
"margin_crowding_reversal(k=10,n=120,rebal=20)",2569,10.53,1.0394880204398071,0.07003475400243975,0.20305914927236873,0.43500848580265494,0.6057544452319595,-0.2977620584462881,0.2352037541917819,1.4115129529792754,0.48031496062992124,443,0.8474892954456987,756,0.0,0.0,0.0,0.0,,10,120,20,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=60,rebal=5)",2569,10.53,1.3593357956384868,0.08494330899356406,0.2150909225011099,0.48669522397487797,0.6834725488057296,-0.4007075649388202,0.2119832926202258,1.579225774242349,0.47244094488188976,913,0.9026858699883222,994,0.0,0.0,0.0,0.0,,20,60,5,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=120,rebal=5)",2569,10.53,0.8866315426897127,0.06214637549855717,0.21858505072890425,0.3853991999299567,0.535633237383533,-0.37980973835394904,0.16362501858928707,1.2505410366081255,0.47244094488188976,904,0.9026858699883222,717,0.0,0.0,0.0,0.0,,20,120,5,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=60,rebal=10)",2569,10.53,1.132024416747707,0.07455393130858212,0.21425314194058184,0.4429021922238577,0.6164225677777556,-0.37939993502667424,0.19650486050647453,1.4371264047260486,0.47244094488188976,836,0.9026858699883222,885,0.0,0.0,0.0,0.0,,20,60,10,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=120,rebal=10)",2569,10.53,0.5433825032776565,0.04207974447432772,0.2192337705848704,0.2979247770628518,0.41111275724085117,-0.3740055018741416,0.11251103062245371,0.9667045484451826,0.44881889763779526,1275,0.9026858699883222,647,0.0,0.0,0.0,0.0,,20,120,10,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=60,rebal=20)",2569,10.53,1.1286051057873605,0.07439013060938615,0.21122736081233798,0.4454696449469297,0.6120984453595434,-0.36893014728657336,0.20163744046539583,1.4454572600841717,0.47244094488188976,913,0.9026858699883222,745,0.0,0.0,0.0,0.0,,20,60,20,margin_crowding_reversal
"margin_crowding_reversal(k=20,n=120,rebal=20)",2569,10.53,0.4349465002621966,0.034894394689732655,0.21722100016932744,0.2668887652915654,0.35886103566192895,-0.40477508441019716,0.086206873974414,0.8659990816468597,0.47244094488188976,1244,0.9026858699883222,546,0.0,0.0,0.0,0.0,,20,120,20,margin_crowding_reversal
"short_squeeze(k=5,n=5,rebal=5)",2569,10.53,0.6207071636880623,0.04692951316011329,0.11507978026105858,0.45603040348975704,0.624129783768736,-0.2052768476846918,0.22861571428745683,1.4797247467263748,0.49606299212598426,811,0.40572207084468664,1915,0.0,0.0,0.0,0.0,,5,5,5,short_squeeze
"short_squeeze(k=5,n=10,rebal=5)",2569,10.53,0.3919039880259829,0.031905214275610216,0.11660078537723936,0.3276451177669009,0.43489591807069083,-0.22580398588317818,0.1412960632684167,1.0631409335729747,0.4881889763779528,808,0.40225768781627097,1443,0.0,0.0,0.0,0.0,,5,10,5,short_squeeze
"short_squeeze(k=5,n=20,rebal=5)",2569,10.53,0.6910380260582196,0.05116208079824447,0.11194376894928444,0.5017485724789167,0.6717983372863032,-0.2214443043733506,0.23103814271956274,1.628070790127398,0.5275590551181102,909,0.3960685091475282,1168,0.0,0.0,0.0,0.0,,5,20,5,short_squeeze
"short_squeeze(k=5,n=60,rebal=5)",2569,10.53,0.6044370677716273,0.04592672374408768,0.10925928014439612,0.4655832258694627,0.6479652938690571,-0.20352173217985758,0.2256600474660908,1.51072168808853,0.4881889763779528,789,0.3990268586998832,874,0.0,0.0,0.0,0.0,,5,60,5,short_squeeze
"short_squeeze(k=5,n=5,rebal=10)",2569,10.53,0.42049383250056716,0.033899856126514916,0.11839940974784648,0.340782424563252,0.4512906483426865,-0.19972587583486812,0.16973191873517213,1.1057687886965288,0.48031496062992124,879,0.40673413779680806,912,0.0,0.0,0.0,0.0,,5,5,10,short_squeeze
"short_squeeze(k=5,n=10,rebal=10)",2569,10.53,0.8835518047165616,0.0619815752780013,0.1148418777692733,0.5810726845680261,0.7923642358197034,-0.17436840677512977,0.35546333435238886,1.8854611982495804,0.49606299212598426,471,0.40568314519268195,968,0.0,0.0,0.0,0.0,,5,10,10,short_squeeze
"short_squeeze(k=5,n=20,rebal=10)",2569,10.53,1.1949144539300312,0.07752501798740097,0.11430036224947543,0.7105029307614662,0.9396668931097669,-0.16771472792305753,0.46224335183590504,2.305435692936144,0.5275590551181102,789,0.39875437913585055,760,0.0,0.0,0.0,0.0,,5,20,10,short_squeeze
"short_squeeze(k=5,n=60,rebal=10)",2569,10.53,0.7590497129281368,0.055106186739045215,0.10971288312343747,0.5437728218403088,0.7631714500022831,-0.203431855436759,0.27088278097220675,1.7644308250434666,0.4881889763779528,792,0.39992214869599063,566,0.0,0.0,0.0,0.0,,5,60,10,short_squeeze
"short_squeeze(k=5,n=5,rebal=20)",2569,10.53,0.9423103005708309,0.06508457629299036,0.11302467653208986,0.614425098443564,0.8234546961217958,-0.19904035350744298,0.3269918644439936,1.9936829128480502,0.5118110236220472,683,0.40260801868431295,471,0.0,0.0,0.0,0.0,,5,5,20,short_squeeze
"short_squeeze(k=5,n=10,rebal=20)",2569,10.53,1.4477581727626947,0.08874126881671573,0.10931361729491539,0.8325249848518548,1.14231850317189,-0.19468164052144876,0.4558276197951948,2.701372129853969,0.5511811023622047,608,0.4037757882444531,469,0.0,0.0,0.0,0.0,,5,10,20,short_squeeze
"short_squeeze(k=5,n=20,rebal=20)",2569,10.53,0.4001406300122181,0.03248363828432366,0.11317259043127406,0.33908925201882145,0.4385349207464162,-0.23328382239036116,0.1392451390391219,1.1002747924732532,0.5196850393700787,763,0.39817049435578045,497,0.0,0.0,0.0,0.0,,5,20,20,short_squeeze
"short_squeeze(k=5,n=60,rebal=20)",2569,10.53,1.1207007623228193,0.0740105628532075,0.11147032757979615,0.6962971983080231,0.965508744777149,-0.1915237156451548,0.3864302789025378,2.259341016581509,0.49606299212598426,689,0.3989100817438692,352,0.0,0.0,0.0,0.0,,5,60,20,short_squeeze
"short_squeeze(k=10,n=5,rebal=5)",2569,10.53,1.3017208226185817,0.08239867062994177,0.2005103489728157,0.49518013068611155,0.6555068837568749,-0.35618426378278734,0.23133720101736763,1.6067575491814714,0.5196850393700787,792,0.8222654729466718,3648,0.0,0.0,0.0,0.0,,10,5,5,short_squeeze
"short_squeeze(k=10,n=10,rebal=5)",2569,10.53,0.5577586406389208,0.04299780581161694,0.19831023995431318,0.3114740490590928,0.41709248124297926,-0.34475396841075523,0.12472026358341273,1.0106691458043473,0.49606299212598426,696,0.8187232386142467,2700,0.0,0.0,0.0,0.0,,10,10,5,short_squeeze
"short_squeeze(k=10,n=20,rebal=5)",2569,10.53,1.6156442559791788,0.0956227317295173,0.1975742531705435,0.5611844580910602,0.7400186966204064,-0.3215436374255827,0.29738648382258226,1.8209279990127314,0.5196850393700787,786,0.8163876994939665,2199,0.0,0.0,0.0,0.0,,10,20,5,short_squeeze
"short_squeeze(k=10,n=60,rebal=5)",2569,10.53,1.300304845964952,0.08233540944152828,0.19087193984298648,0.5097567853628028,0.7009484718595749,-0.2843406651568574,0.28956607172634874,1.6540557917646967,0.44881889763779526,683,0.808174386920981,1580,0.0,0.0,0.0,0.0,,10,60,5,short_squeeze
"short_squeeze(k=10,n=5,rebal=10)",2569,10.53,0.6590496729930817,0.049257144349245774,0.20013540530741566,0.34048787752291465,0.44142174146479407,-0.35018266201924675,0.14066128821231733,1.1048130442081636,0.4645669291338583,1090,0.8221097703386532,1716,0.0,0.0,0.0,0.0,,10,5,10,short_squeeze
"short_squeeze(k=10,n=10,rebal=10)",2569,10.53,1.5172326679241772,0.09163923325278334,0.1987572063683276,0.5407721017754133,0.6982366534585057,-0.2701469151994881,0.33921998770599693,1.7546941063860144,0.4881889763779528,285,0.8244453094589334,1867,0.0,0.0,0.0,0.0,,10,10,10,short_squeeze
